"ITTER107","Territorio","TIPO_DATO_FOL","Tipo dato","SEXISTAT1","Sesso","ETA1","Classe di età","TITOLO_STUDIO","Titolo di studio","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019","2019",14.807787,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q1","T1-2019",14.211409,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q2","T2-2019",15.021686,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q4","T4-2019",14.858799,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2019-Q3","T3-2019",15.148641,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020","2020",13.89659,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q2","T2-2020",13.814714,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q1","T1-2020",13.518919,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q3","T3-2020",13.896121,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","3","licenza di scuola elementare, nessun titolo di studio","2020-Q4","T4-2020",14.376331,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019","2019",48.280458,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q1","T1-2019",47.121508,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q2","T2-2019",48.474656,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q4","T4-2019",48.141068,,
"IT","Italia","EMP_R","tasso di occupazione","1","maschi","Y_GE15","15 anni e più","4","licenza di scuola media","2019-Q3","T3-2019",49.397822,,
